Name,Heading,Distance,WGS84latitude,WGS84longitude
POB,N001417W,70,30.485086,-90.927388
P2,N001417W,25.65,30.485278465599087,-90.9273881360529
P3,N001417W,30.04,30.48534899049049,-90.9273881859067
P4,N001417W,75.61,30.485431585722107,-90.92738824429307
P5,S783024E,38.99,30.485639476042163,-90.92738839125069
P6,S842837E,20.76,30.485617743268833,-90.92726718001529
P7,N853339E,62.39,30.48561204823422,-90.92720160216092
P8,S042200W,69.06,30.485624719278587,-90.92700407387646
P9,S050118E,30.12,30.48543544183893,-90.92702154197278
P10,S050118E,25.71,30.485352919317044,-90.92701350978555
P11,S050118E,70.18,30.485282479273863,-90.9270066536363
P12,S890606W,126.02,30.485090200687733,-90.92698793861176
EOB,,,30.48508599627022,-90.92738798238376
